id_unico,type,pais
Movie_51455,Película,Japan
Movie_53459,Película,United Kingdom
Movie_63786,Película,Germany
Movie_38277,Película,France
Movie_40247,Película,United States
Movie_48832,Película,United States
Movie_51875,Película,United States
Movie_66193,Película,United States
Movie_60556,Película,Italy
Movie_57019,Película,Argentina
Movie_57019,Película,Spain
Movie_63415,Película,Hong Kong
Movie_46718,Película,United States
Movie_62756,Película,India
Movie_56529,Película,United States
Movie_67560,Película,Japan
Movie_56929,Película,United States
Movie_36298,Película,Italy
Movie_54328,Película,China
Movie_54328,Película,Hong Kong
Movie_41120,Película,Canada
Movie_60575,Película,United Kingdom
Movie_60575,Película,United States
Movie_60575,Película,Bulgaria
Movie_63462,Película,Japan
Movie_68193,Película,Canada
Movie_74352,Película,Canada
Movie_56180,Película,Uruguay
Movie_59866,Película,South Korea
Movie_57500,Película,Finland
Movie_57500,Película,Poland
Movie_57500,Película,Austria
Movie_70712,Película,Mexico
Movie_49347,Película,Australia
Movie_92243,Película,Italy
Movie_92243,Película,Netherlands
Movie_35025,Película,France
Movie_72721,Película,Chile
Movie_72721,Película,France
Movie_72721,Película,Germany
Movie_72721,Película,Spain
Movie_72721,Película,United States
Movie_57436,Película,Denmark
Movie_53344,Película,United States
Movie_44566,Película,India
Movie_37832,Película,France
Movie_121046,Película,Thailand
Movie_38325,Película,Russia
Movie_74471,Película,United Kingdom
Movie_45792,Película,United States
Movie_52939,Película,Russia
Movie_69597,Película,India
Movie_53844,Película,France
Movie_46584,Película,Canada
Movie_27651,Película,United States
Movie_46873,Película,Germany
Movie_46873,Película,Austria
Movie_45527,Película,Canada
Movie_45527,Película,Germany
Movie_70925,Película,Australia
Movie_70925,Película,United Kingdom
Movie_57517,Película,United States
Movie_90363,Película,United States
Movie_254144,Película,Japan
Movie_56968,Película,United States
Movie_46636,Película,Germany
Movie_44862,Película,United States
Movie_45013,Película,United States
Movie_45368,Película,France
Movie_61933,Película,France
Movie_61933,Película,Spain
Movie_47467,Película,United States
Movie_39477,Película,United States
Movie_46106,Película,Japan
Movie_57011,Película,Japan
Movie_89704,Película,Germany
Movie_70115,Película,Australia
Movie_51764,Película,United States
Movie_47896,Película,United States
Movie_41535,Película,Hong Kong
Movie_41535,Película,Taiwan
Movie_95547,Película,United States
Movie_95547,Película,Bulgaria
Movie_57521,Película,Spain
Movie_50845,Película,France
Movie_430783,Película,Finland
Movie_147943,Película,Japan
Movie_37058,Película,United States
Movie_76216,Película,Japan
Movie_48763,Película,Turkey
Movie_46953,Película,Sweden
Movie_41490,Película,Hong Kong
Movie_67198,Película,United States
Movie_62156,Película,Brazil
Movie_103510,Película,Japan
Movie_34592,Película,United States
Movie_63064,Película,China
Movie_51409,Película,France
Movie_51409,Película,Australia
Movie_51409,Película,Germany
Movie_51409,Película,Italy
Movie_44245,Película,China
Movie_44245,Película,Hong Kong
Movie_69406,Película,France
Movie_69406,Película,Brazil
Movie_153779,Película,Iran
Movie_145132,Película,Canada
Movie_42882,Película,Italy
Movie_61591,Película,Japan
